TOPIC,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
world wide web,0,0,0,0,0,0,0,1,1,0,0,0,0,3,2,2,1,4,1,3,5,5,6,8,4,7,12,5,24,4,11,14,9,14,18,14,5,16,17,16,11,12,10,8,24,15,16,16,21,15
formal languages,2,0,2,1,2,1,5,3,7,4,10,5,1,2,8,8,17,10,24,19,19,17,19,24,15,19,16,19,5,14,12,8,4,2,1,2,4,3,10,1,1,2,0,4,6,2,2,3,1,4
telecommunication networks,2,0,1,0,1,0,0,1,2,0,1,2,0,4,1,2,3,1,1,2,0,4,6,6,2,5,6,5,8,10,2,7,10,6,13,22,8,20,14,21,16,9,20,14,14,10,13,16,29,23
wireless telecommunication systems,3,2,1,0,1,0,0,0,1,0,1,2,0,5,0,0,2,1,1,3,0,2,5,5,5,4,5,5,5,10,2,6,10,5,14,21,7,17,13,21,16,8,19,16,16,11,12,17,27,23
data mining,1,0,0,0,1,0,0,1,0,5,3,7,7,4,8,10,13,7,14,8,11,15,10,9,13,10,8,8,10,8,8,19,6,8,8,7,6,7,11,4,7,2,5,7,7,4,13,5,14,2
information system,3,0,2,1,3,4,3,1,2,1,5,0,3,4,2,5,6,8,0,6,5,6,4,10,9,10,7,9,13,10,16,13,4,7,13,11,9,12,19,11,7,6,6,10,13,2,13,5,9,5
image processing,1,2,1,3,4,1,4,3,3,3,1,1,4,3,3,3,8,6,1,5,2,4,9,6,3,3,5,6,4,5,2,13,5,6,13,10,7,10,12,12,11,10,11,11,19,6,12,13,15,25
reasoner,0,0,0,0,0,0,1,1,3,3,9,3,0,0,6,5,16,9,24,16,18,16,18,20,13,18,15,16,5,12,12,7,4,2,1,1,4,2,9,1,1,2,0,4,5,2,2,2,1,4
data communication systems,2,0,1,0,1,0,0,0,2,0,1,2,0,4,1,0,1,1,2,1,1,1,4,6,4,4,5,5,6,9,2,5,9,3,11,20,7,15,12,19,15,7,18,15,11,10,10,15,24,21
sensors,0,2,0,0,4,0,1,3,0,0,3,2,0,5,1,0,3,3,12,9,5,13,8,3,9,9,3,11,5,7,6,7,4,5,8,11,3,7,10,6,4,5,11,9,15,10,10,11,20,14
computer programming languages,2,1,2,0,6,10,3,7,6,6,5,4,6,10,10,10,11,10,10,13,9,9,8,11,11,13,4,6,6,10,10,11,7,4,2,7,2,5,4,2,0,3,0,1,2,2,3,3,3,4
nlp,2,2,0,1,2,4,3,4,10,9,5,2,5,6,16,12,7,10,9,9,8,13,11,5,13,13,14,5,2,6,6,8,4,5,3,7,3,2,8,2,4,1,5,3,2,1,6,2,7,2
electronic commerce,1,0,3,0,1,1,0,2,2,4,3,10,3,6,2,2,5,2,5,2,5,2,5,12,6,9,5,5,10,14,9,14,6,5,9,8,5,7,5,4,4,14,6,5,9,3,14,9,10,7
software architecture,0,0,1,2,0,0,1,0,1,3,1,1,3,1,1,1,2,4,9,8,11,10,5,19,13,10,5,8,13,6,13,3,8,4,4,6,6,13,8,10,6,7,2,4,9,8,9,3,3,4
information retrieval,4,0,2,0,2,0,1,1,2,5,2,0,2,3,6,4,9,6,2,4,4,8,8,9,9,10,7,4,11,0,5,15,3,7,8,5,3,5,12,4,5,11,6,3,8,4,8,4,7,10
computer aided design,0,0,1,1,8,3,0,1,2,2,2,1,1,3,1,1,4,2,2,5,3,5,6,3,4,5,6,8,7,3,6,6,9,8,6,5,8,11,8,5,7,7,7,11,6,9,10,9,17,10
theoretical computer science,4,1,4,1,3,6,6,4,7,5,5,5,5,5,8,6,3,2,4,4,8,7,5,8,6,13,11,10,9,7,4,8,7,8,3,4,0,7,6,2,4,1,1,4,2,3,3,4,2,3
mobile computing,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,3,2,3,3,4,2,7,1,5,8,2,7,16,7,14,10,15,14,7,15,11,9,8,10,13,23,18
image analysis,0,2,1,3,3,1,3,3,3,3,1,1,2,1,3,3,8,3,1,4,0,2,6,4,1,2,3,5,3,2,1,12,2,3,7,8,5,5,10,8,11,8,7,9,12,6,11,11,11,19
pattern recognition,2,5,2,1,2,1,3,4,3,2,5,1,4,3,7,6,8,6,3,6,2,7,7,4,3,3,2,3,2,2,2,6,3,5,7,5,1,4,6,2,5,7,7,6,10,9,9,6,8,9
expert system,0,0,0,0,0,0,0,0,0,0,1,1,0,3,10,8,15,4,31,23,18,17,19,18,12,3,10,9,2,4,5,2,1,0,1,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0
knowledge base,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,3,5,5,27,16,8,15,7,14,11,8,18,20,7,10,8,6,3,1,1,0,4,3,2,2,0,3,0,2,2,1,0,0,0,0
mobile device,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,1,2,3,4,2,7,1,5,6,2,5,12,7,12,9,13,12,5,14,9,8,8,10,11,21,18
robotics,2,3,1,2,3,0,1,3,3,2,2,2,1,1,4,1,1,2,3,2,1,6,5,3,7,7,1,5,5,6,5,1,7,7,8,4,2,8,4,6,2,5,4,5,7,8,11,8,10,14
formal logic,1,1,1,0,3,0,1,2,1,3,5,3,2,5,5,5,7,10,8,11,9,12,8,8,11,3,7,4,7,8,7,8,2,1,1,3,1,6,5,1,0,2,0,2,4,4,3,2,3,2
virtual reality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,5,2,1,0,7,7,4,7,6,5,10,8,9,11,8,12,13,9,16,11,14,17,13
knowledge representation,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,5,9,6,20,12,15,12,9,15,10,15,16,16,2,2,5,1,2,1,1,0,4,1,6,2,0,0,0,1,2,1,0,0,0,0
product design,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,2,1,1,3,1,2,3,2,3,2,4,7,6,1,6,3,9,5,5,5,8,10,8,5,7,7,7,10,5,8,10,8,17,10
management science,1,0,3,0,1,1,0,2,2,3,3,10,3,6,2,2,5,2,5,2,4,2,5,11,4,9,3,5,9,14,7,12,5,3,2,5,1,1,1,1,2,2,3,2,6,1,6,6,3,3
cognitive systems,2,3,5,3,4,9,1,4,3,3,1,4,1,0,5,1,2,4,2,3,1,4,7,7,6,9,3,5,3,4,6,1,9,8,4,2,2,5,2,1,4,2,1,1,6,4,10,1,5,5
object oriented programming,0,0,1,0,1,0,1,1,0,2,0,3,0,1,2,3,2,1,2,7,5,3,6,4,10,14,7,8,7,9,7,8,9,4,4,5,2,4,3,2,4,2,3,3,3,4,3,3,1,3
computer security,0,2,0,0,1,0,0,0,1,1,0,0,1,0,4,2,3,1,1,1,1,1,3,0,5,1,1,2,7,1,3,5,2,6,4,3,14,6,11,9,5,2,4,4,15,6,7,4,10,13
distributed computer systems,1,0,1,1,5,5,3,3,2,0,2,3,4,5,5,4,4,1,6,3,4,4,6,5,5,6,5,2,5,3,2,2,5,3,5,5,3,3,5,4,4,2,2,6,4,3,3,3,1,2
multiagent system,1,1,1,0,2,0,0,2,1,1,3,0,2,4,4,3,2,4,2,6,3,3,3,2,9,2,3,2,3,13,5,9,5,1,2,5,1,11,4,3,6,4,2,3,5,2,6,4,3,4
visualization,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,2,3,1,6,0,3,5,3,4,5,2,3,10,8,5,4,5,8,7,9,3,7,3,7,8,9,6,5,5,9,5
knowledge acquisition,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0,24,15,4,9,3,3,3,6,11,11,4,12,6,7,4,0,1,3,3,5,5,1,0,2,2,1,11,1,0,3,0,0
security of data,0,1,0,0,1,0,0,0,1,1,0,0,1,0,4,2,3,1,1,1,1,1,3,0,5,1,0,2,7,1,3,3,2,6,4,3,13,5,11,6,4,2,4,3,15,6,7,3,10,13
image reconstruction,0,1,0,1,1,0,1,0,1,1,0,0,1,1,2,2,5,2,0,2,0,0,2,0,1,1,2,4,2,1,1,9,2,3,5,7,4,3,8,4,10,3,5,6,11,3,6,8,10,18
computational linguistics,3,1,2,2,2,2,4,2,6,1,2,1,2,3,5,4,6,4,3,3,6,5,6,3,10,4,7,5,2,0,3,5,3,1,1,5,0,1,3,2,4,1,2,4,0,2,4,2,6,2
communication channels (information theory),2,2,0,0,1,0,0,0,1,0,0,2,0,4,0,0,1,1,0,1,0,2,3,1,3,1,3,2,2,2,1,0,1,2,4,9,0,5,4,6,7,4,5,6,8,3,8,11,12,12
interaction design,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,2,1,2,1,8,1,3,3,5,5,7,5,8,4,7,11,4,12,8,11,14,8
graph theory,0,0,1,0,0,1,2,1,2,2,1,1,0,2,1,1,0,2,4,2,5,4,2,7,5,8,8,6,6,3,2,7,4,8,2,1,0,6,6,2,3,1,1,2,2,3,3,2,1,2
information technology,1,2,0,1,0,1,0,2,1,0,0,0,1,2,0,2,2,1,0,0,0,2,4,3,2,1,1,11,8,3,5,7,5,4,6,3,1,10,8,4,4,4,4,2,5,1,3,2,1,3
software quality,0,0,0,0,0,1,2,1,2,1,2,1,1,4,2,2,3,6,3,1,6,7,5,5,2,5,5,11,1,8,5,1,0,3,3,4,2,3,1,4,0,0,2,3,2,1,1,4,2,2
embedded system,0,0,0,0,1,1,1,0,0,1,1,2,2,2,1,2,1,0,1,5,6,4,4,5,4,3,3,7,5,4,2,6,6,2,3,4,2,3,1,3,4,1,4,2,4,2,3,1,5,5
robot,1,3,0,1,3,0,1,3,2,0,2,1,1,1,0,1,1,1,2,1,1,4,2,1,3,4,0,2,2,3,2,0,2,4,5,2,2,4,2,5,1,3,3,5,4,6,9,5,7,9
software process,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,2,4,2,2,6,5,4,13,4,5,1,4,3,1,5,0,5,2,0,1,4,5,3,9,4,3,2,2,3,6,3,1,2,3
logic programming,1,1,1,0,3,0,0,2,1,1,3,0,2,5,4,4,4,5,3,8,5,5,4,4,8,2,1,1,1,5,4,8,1,1,0,2,1,4,3,1,0,2,0,1,2,2,2,1,2,1
software development,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,2,4,2,2,6,5,4,13,3,4,1,3,3,1,5,0,5,2,0,1,4,5,3,9,4,3,2,2,3,6,3,1,0,3
autonomous agent,1,1,1,0,2,0,0,2,1,0,3,0,2,4,4,3,2,4,2,6,3,3,3,2,8,2,1,1,1,8,4,7,1,1,0,2,1,5,2,1,3,3,0,1,3,2,5,1,2,4
component,0,0,0,0,1,0,2,1,1,0,1,1,6,1,0,1,7,3,4,2,5,2,2,3,3,4,4,4,3,3,1,3,6,0,5,4,3,4,2,2,2,0,2,2,4,1,3,1,3,4
mobile robot,0,3,0,0,3,0,0,2,0,1,2,1,0,0,0,0,0,1,0,2,1,5,4,2,3,3,1,4,4,5,1,0,4,4,5,3,0,6,1,2,1,4,1,3,4,6,8,2,5,9
gesture recognition,0,1,0,0,0,0,0,0,0,1,3,0,2,2,3,3,5,3,1,2,2,3,4,0,3,1,1,2,0,0,2,1,2,1,5,4,1,2,2,2,4,4,5,3,8,4,7,2,7,7
search engine,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1,1,2,1,3,3,2,1,2,3,1,3,2,6,1,3,8,3,3,4,2,0,4,5,5,4,4,2,1,4,2,5,11,7,1
domain experts,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,11,11,5,4,4,2,4,2,5,7,7,7,8,3,2,4,2,2,2,2,4,1,0,1,0,2,4,0,0,4,0,0
user experience,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,3,1,1,2,8,1,4,3,3,5,6,2,3,4,7,10,4,8,7,6,10,8
intelligent systems,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3,3,5,4,4,5,3,0,4,9,5,3,2,13,2,3,3,5,4,2,4,4,1,1,2,1,3,1,1,2,1,0,2,0,1,1
three dimensional computer graphics,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,2,0,1,8,2,1,5,5,4,2,7,2,3,3,4,4,9,3,5,7,9,17
interactive computer systems,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,2,0,1,0,0,9,2,0,0,2,0,4,1,1,10,6,4,0,3,3,5,1,7,5,1,4,5,6,2,4,4,8,5
distributed system,1,0,0,1,4,5,3,3,2,0,2,3,4,5,5,4,3,0,5,2,3,4,5,4,3,5,3,2,1,1,0,2,3,1,2,2,1,2,2,0,4,2,0,0,0,1,3,1,0,0
knowledge engineering,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,11,7,3,3,2,2,2,3,6,8,9,9,9,2,1,2,2,0,2,3,2,2,0,2,1,1,7,0,1,0,0,0
parallel processing systems,1,0,0,1,4,5,3,3,2,0,2,3,4,5,5,3,3,0,5,2,3,4,5,3,3,5,3,2,1,1,0,2,2,1,2,2,1,2,2,0,4,2,0,0,0,1,3,1,0,0
telecommunication traffic,1,0,0,0,1,0,0,0,2,0,0,2,0,3,0,0,2,1,0,0,0,3,3,1,0,2,3,1,4,1,0,2,2,2,4,6,0,8,2,8,3,2,6,3,5,2,4,4,7,6
programming language,1,0,0,0,2,7,3,2,5,5,3,1,4,5,3,5,6,5,2,3,3,4,3,5,2,5,0,0,0,0,4,2,5,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2
interactive computer graphics,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,2,0,1,8,2,1,5,4,4,2,7,2,2,3,4,4,8,3,5,6,7,15
experience design,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,1,1,1,7,1,3,3,3,4,6,2,3,3,6,9,3,8,7,6,9,7
usability engineering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,4,1,1,4,11,1,5,2,5,7,2,4,5,6,2,4,5,5,3,3,5,5
argumentation,1,1,1,0,2,0,0,2,1,0,3,0,2,4,4,3,2,4,2,6,3,3,3,2,6,2,1,1,1,4,4,7,1,1,0,1,1,4,2,1,0,2,0,1,2,1,1,1,2,1
intelligent control,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3,3,5,4,3,4,3,0,4,9,3,1,2,13,2,2,3,5,3,2,3,4,1,1,1,0,3,1,0,2,0,0,2,0,0,0
systems design,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3,3,5,4,3,4,3,0,4,9,3,1,2,13,2,2,3,5,3,2,3,4,1,1,1,0,2,1,0,2,0,0,2,0,0,0
elearning,0,0,0,0,0,3,2,0,1,0,4,0,1,1,0,0,3,3,0,3,1,2,2,2,2,3,1,3,2,3,1,1,2,1,3,3,2,3,4,4,1,1,2,7,5,1,5,1,2,2
facial expression,0,1,0,0,0,0,0,0,0,1,3,0,2,2,3,3,5,2,1,1,2,2,3,0,1,1,1,1,0,0,1,1,2,1,5,4,1,2,2,2,3,4,3,2,4,2,7,1,3,5
dialogue,1,1,1,0,1,0,0,2,1,0,3,0,2,4,4,3,2,4,1,6,3,3,3,2,6,1,1,1,1,4,4,6,1,1,0,1,1,2,2,1,0,2,0,1,1,0,1,1,2,1
inference engines,0,0,0,0,0,0,0,2,1,1,0,1,6,0,0,7,8,0,6,5,3,2,4,3,4,1,6,2,1,5,1,1,1,2,2,2,0,1,3,0,0,0,0,0,0,0,2,2,0,2
verification and validation,0,0,0,0,0,0,1,1,0,1,1,0,1,3,0,0,1,3,2,1,2,4,3,3,1,3,5,10,1,8,2,0,0,3,3,2,2,2,0,4,0,0,1,2,2,0,0,3,2,2
inference,0,0,0,0,0,0,0,2,1,1,0,1,6,0,0,7,8,0,6,5,3,2,4,3,4,1,5,2,1,4,1,1,1,2,2,2,0,1,3,0,0,0,0,0,0,0,2,2,0,2
cryptography,0,1,0,0,0,0,0,0,1,1,0,0,1,0,4,2,2,1,0,1,0,0,2,0,2,0,0,1,4,1,0,2,1,1,2,0,8,3,7,2,3,2,3,3,6,3,2,1,4,7
gui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,0,3,1,1,3,2,1,3,7,4,2,2,5,5,2,3,4,2,2,4,2,5,2,3,2,5,3
mobile telecommunication systems,1,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,0,2,3,4,6,3,4,5,4,3,6,6,11,10
query languages,0,0,0,0,0,0,1,0,1,0,2,3,0,2,2,2,3,4,1,3,4,3,2,1,2,6,3,2,0,2,4,6,1,1,3,1,0,3,2,2,1,0,1,0,3,1,0,1,0,0
image segmentation,0,1,1,3,3,0,2,2,0,2,1,1,1,0,1,2,3,1,1,4,0,2,3,3,0,1,1,1,0,0,0,2,0,2,2,1,0,1,2,1,6,3,3,2,1,3,5,3,1,1
information retrieval systems,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,0,0,3,4,4,6,3,4,5,2,5,0,4,5,1,4,5,2,1,1,0,3,0,1,1,0,2,1,2,1,0,1
human factor,0,0,1,0,0,1,0,2,0,1,0,1,1,1,2,3,4,3,0,1,1,3,5,3,7,0,0,2,2,1,2,2,6,1,4,1,0,6,0,2,1,1,0,1,1,0,0,0,2,0
ubiquitous computing,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,3,1,1,0,2,0,5,0,0,2,1,3,3,2,3,5,2,5,1,5,1,4,3,5,2,8,3
data privacy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,1,0,1,1,1,2,1,1,9,2,5,3,2,2,0,1,10,3,4,2,7,7
privacy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,1,1,1,2,1,1,9,2,5,3,2,1,0,1,10,3,4,2,7,7
decision support system,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,4,3,1,0,1,6,5,4,2,0,3,3,2,1,3,1,1,0,1,4,1,1,1,1,2,1,3,1,2,1,2,1
information analysis,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,6,2,2,10,0,1,3,3,3,2,7,1,3,1,2,0,6,0,1,2,2,1
man machine systems,0,2,1,1,2,0,0,2,1,1,1,2,0,0,4,0,0,0,0,0,0,3,2,0,4,2,0,1,0,0,4,0,3,3,3,2,0,2,1,0,1,1,1,1,2,3,5,0,2,4
computer keyboards,0,1,0,0,0,0,0,0,0,1,3,0,2,2,3,3,5,2,1,1,2,2,3,0,1,1,1,1,0,0,1,1,2,0,1,4,0,1,1,0,2,0,2,2,2,2,2,1,3,1
cloud computing,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,1,0,2,2,1,0,3,5,2,1,4,3,9,2,2,2,3,3,3,0,4,2,1,3,0
user interface design,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,1,1,0,3,2,3,2,0,2,3,0,3,2,5,0,0,4,2,5,0,0,3,4,2,1,2,2,2,2,0,0
online system,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,2,0,0,3,1,3,2,3,1,0,2,3,0,4,4,3,0,4,1,2,6,2,2,2,3,2
mobile phone,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,2,0,0,4,1,2,0,5,2,3,5,2,2,1,5,4,6,11
classifier,0,0,0,0,0,1,1,3,1,0,6,4,4,0,0,1,2,1,3,1,1,1,1,1,3,2,2,1,0,1,0,0,0,2,1,1,0,1,0,2,1,0,0,1,2,0,0,0,5,4
virtual environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,5,4,1,3,3,2,6,2,2,1,3,3,3,0,4,4,4,6,0
keyboard,0,1,0,0,0,0,0,0,0,1,3,0,2,2,3,3,5,2,1,1,2,2,3,0,1,1,1,1,0,0,1,1,2,0,1,3,0,0,1,0,1,0,2,2,2,2,2,1,3,0
web page,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,5,1,1,4,4,1,7,4,4,2,3,1,3,5,1,2,1,2,3
social network,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,2,0,0,0,0,2,0,2,3,6,3,3,2,1,6,5,5,2,8,3
control system,2,0,1,1,0,0,0,2,2,0,0,1,3,1,0,0,2,2,0,2,2,1,1,2,4,2,2,1,0,2,4,1,1,0,0,1,3,2,2,2,0,0,1,0,1,2,0,0,1,2
hypertext systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,6,2,5,8,1,8,1,2,5,1,2,5,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
computer aided instruction,0,0,0,0,0,3,0,0,1,0,4,0,2,1,0,0,3,2,0,3,1,2,1,2,1,3,0,2,0,0,0,1,0,0,1,3,1,2,5,2,0,1,1,4,1,1,2,1,1,0
ergonomics,0,0,0,0,0,2,0,2,0,1,0,1,0,0,2,2,3,3,0,1,0,2,6,2,7,2,0,1,1,0,2,3,3,2,1,1,1,3,0,1,0,0,0,1,1,0,0,0,1,0
program compilers,0,0,0,0,3,3,2,2,0,0,0,3,1,5,2,3,3,0,4,2,2,3,2,2,3,4,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0
image coding,1,1,0,0,2,1,2,1,1,0,0,0,0,2,0,0,2,1,0,1,1,0,2,3,2,0,1,0,0,2,1,1,1,1,2,2,0,2,1,3,1,1,3,1,3,0,3,1,1,2
intelligent robots,0,2,0,0,3,0,0,2,0,0,2,1,0,0,0,0,0,0,0,1,1,3,2,0,2,1,0,1,0,1,1,0,1,2,2,1,0,2,0,0,1,1,1,2,2,5,6,1,3,3
validation,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,1,1,3,1,1,1,1,3,7,1,6,2,0,0,3,2,0,1,2,0,3,0,0,1,1,2,0,0,3,2,2
graphic methods,0,0,1,0,0,0,2,0,1,1,1,0,0,2,0,0,0,0,1,0,0,1,0,3,4,2,3,6,2,0,1,3,3,4,1,0,0,2,5,2,0,0,0,1,0,0,0,2,0,1
authentication,0,1,0,0,0,0,0,0,1,1,0,0,0,0,4,2,2,1,0,1,0,0,2,0,2,0,0,0,2,1,0,1,1,0,1,0,7,1,3,0,1,2,2,2,2,2,1,0,4,4
